Collision Year,Collision Date & Time,Location Type,Location Description,Traffic Control,Pedestrians Involved,Vehicles Involved,Cyclists Involved,Minor Injuries,Major Injuries,Fatalities,Property Damage Only
2020,2020-01-01 21:43,Intersection,Jasper Ave & 124 St NW,Stop Sign,0,2,1,4,0,0,N
2020,2020-01-03 05:23,Midblock,Fort Rd NW between 118 Ave & 137 Ave,No Control,3,3,0,3,0,0,N
2020,2020-01-04 15:12,Intersection,107 Ave & 156 St NW,Yield Sign,2,5,0,1,0,0,N
2020,2020-01-05 15:26,Intersection,Kingsway Ave & 109 St NW,Traffic Signal,0,3,0,1,0,0,N
2020,2020-01-05 17:45,Intersection,Jasper Ave & 109 St NW,Stop Sign,1,2,0,3,0,0,N
2020,2020-01-06 09:41,Intersection,34 Ave & 91 St NW,Traffic Signal,0,3,0,0,0,0,Y
2020,2020-01-08 12:43,Midblock,Calgary Trail NW between 51 Ave & 34 Ave,No Control,0,3,1,3,0,0,N
2020,2020-01-10 07:29,Midblock,Groat Rd NW between River Valley Rd & 107 Ave,Pedestrian Crosswalk Signal,0,3,2,4,0,0,N
2020,2020-01-10 22:43,Intersection,Whyte Ave & 99 St NW,No Control,1,2,0,2,1,0,N
2020,2020-01-13 03:21,Intersection,Manning Dr & 137 Ave NW,No Control,0,3,0,0,0,0,Y
2020,2020-01-13 10:55,Midblock,Fort Rd NW between 118 Ave & 137 Ave,School Zone,0,2,0,0,0,0,Y
2020,2020-01-13 19:39,Intersection,Jasper Ave & 109 St NW,Yield Sign,0,3,1,0,0,0,Y
2020,2020-01-14 05:34,Intersection,23 Ave & 91 St NW,Stop Sign,0,2,0,0,0,0,Y
2020,2020-01-14 11:35,Intersection,Terwillegar Dr & 23 Ave SW,Stop Sign,0,3,2,0,0,0,Y
2020,2020-01-15 08:33,Midblock,170 St NW between Whitemud Dr & Jasper Ave,No Control,0,1,0,0,0,0,Y
2020,2020-01-17 11:20,Midblock,Calgary Trail NW between 51 Ave & 34 Ave,Pedestrian Crosswalk Signal,0,2,0,0,0,0,Y
2020,2020-01-17 21:30,Midblock,Whitemud Dr NW between 91 St & 119 St,No Control,0,2,0,0,0,0,Y
2020,2020-01-17 22:05,Intersection,Whitemud Dr & 170 St NW,Yield Sign,0,3,0,2,0,0,N
2020,2020-01-17 22:52,Midblock,Calgary Trail NW between 51 Ave & 34 Ave,School Zone,1,2,1,3,0,0,N
2020,2020-01-18 20:42,Intersection,Groat Rd & Valleyview Dr NW,Traffic Signal,0,2,0,0,0,0,Y
2020,2020-01-19 02:14,Intersection,Manning Dr & 137 Ave NW,Stop Sign,0,2,0,0,0,0,Y
2020,2020-01-19 04:25,Intersection,Groat Rd & Valleyview Dr NW,Traffic Signal,0,2,0,3,0,0,N
2020,2020-01-21 16:43,Intersection,Whyte Ave & 99 St NW,No Control,2,2,0,0,0,0,Y
2020,2020-01-23 10:43,Midblock,Stony Plain Rd NW between 149 St & 163 St,No Control,0,3,1,0,0,0,Y
2020,2020-01-24 12:20,Midblock,Stony Plain Rd NW between 149 St & 163 St,Pedestrian Crosswalk Signal,1,3,2,1,0,0,N
2020,2020-01-24 16:04,Intersection,23 Ave & 91 St NW,Traffic Signal,1,3,0,1,0,0,N
2020,2020-01-25 08:12,Intersection,Fort Rd & 118 Ave NW,Traffic Signal,0,3,0,1,0,0,N
2020,2020-01-26 05:38,Midblock,Anthony Henday Dr NW near 23 Ave,No Control,0,2,2,0,0,0,Y
2020,2020-01-26 16:52,Intersection,Calgary Trail & 51 Ave NW,No Control,0,2,0,1,1,0,N
2020,2020-01-27 07:54,Intersection,Fort Rd & 118 Ave NW,Stop Sign,0,1,0,2,0,0,N
2020,2020-01-27 16:11,Intersection,Terwillegar Dr & 23 Ave SW,Traffic Signal,1,3,0,1,0,0,N
2020,2020-01-28 01:00,Intersection,Terwillegar Dr & 23 Ave SW,Yield Sign,1,2,0,1,0,0,N
