record_type,year,location_type,location_description,collision_count,fatalities,serious,minor,pedestrian_involved,bicycle_involved,community_complaints,years,total_collisions,total_fatalities,total_serious_injuries,total_minor_injuries,bicycle_collisions,motorcycle_collisions,pedestrian_collisions,collisions_per_1000,property_damage_only_pdo,fatalities_intersection,fatalities_midblock,injuries_intersection,injuries_midblock,ctrl_signal,ctrl_no_control,ctrl_stop_sign,ctrl_yield_sign,ctrl_ped_signal,ctrl_rrfb,ctrl_flagman,user_vehicle_pct,user_ped_pct,user_bicycle_pct,user_motorcycle_pct,user_other_pct
yearly,2018,,,,,,,,,,,14820,28,312,4210,380,290,560,15.9,10560,16,12,2800,1722,4210,3480,2320,980,740,360,170,70,14,8,5,3
yearly,2019,,,,,,,,,,,15340,31,328,4410,410,310,590,16.1,10910,19,12,2950,1788,4380,3600,2400,1010,760,380,180,70,14,8,5,3
yearly,2020,,,,,,,,,,,11240,22,260,3110,320,240,420,11.6,8080,13,9,2100,1270,3280,2640,1730,730,540,270,130,71,13,8,5,3
yearly,2021,,,,,,,,,,,13560,26,295,3780,355,275,510,13.8,9726,15,11,2540,1535,3960,3110,2040,860,660,320,155,70,14,8,5,3
yearly,2022,,,,,,,,,,,15980,33,345,4620,440,325,615,15.8,11323,20,13,3090,1875,4660,3720,2480,1060,830,400,190,69,14,9,5,3
yearly,2023,,,,,,,,,,,16450,35,362,4810,465,340,640,15.8,11626,21,14,3210,1962,4820,3910,2640,1120,890,430,210,68,14,9,6,3
location,2023,Intersection,"Whitemud Dr NW & 170 St NW",312,4,28,142,22,8,38,2018|2019|2020|2021|2022|2023,,,,,,,,,,,,,,,,,,,,,,,,,
location,2023,Intersection,"Yellowhead Tr & 170 St NW",298,3,22,130,18,6,31,2019|2020|2021|2022|2023,,,,,,,,,,,,,,,,,,,,,,,,,
location,2023,Intersection,"Whitemud Dr NW & 91 St NW",276,2,19,128,12,5,24,2020|2021|2022|2023,,,,,,,,,,,,,,,,,,,,,,,,,
location,2023,Intersection,"Anthony Henday Dr & 137 Ave NW",264,5,31,110,9,3,44,2018|2019|2020|2021|2022|2023,,,,,,,,,,,,,,,,,,,,,,,,,
location,2023,Intersection,"Terwillegar Dr NW & Rabbit Hill Rd",248,1,15,120,14,12,29,2021|2022|2023,,,,,,,,,,,,,,,,,,,,,,,,,
location,2023,Midblock,"Yellowhead Tr NW — 156 St to 170 St",235,6,35,98,28,4,52,2018|2019|2020|2021|2022|2023,,,,,,,,,,,,,,,,,,,,,,,,,
location,2023,Intersection,"Groat Rd NW & 107 Ave NW",228,2,18,115,31,18,41,2019|2020|2021|2022|2023,,,,,,,,,,,,,,,,,,,,,,,,,
location,2023,Midblock,"Stony Plain Rd NW — 156 St to 163 St",218,3,26,105,19,11,33,2020|2021|2022|2023,,,,,,,,,,,,,,,,,,,,,,,,,
location,2023,Intersection,"Jasper Ave & 109 St NW",210,1,12,118,42,22,47,2021|2022|2023,,,,,,,,,,,,,,,,,,,,,,,,,
location,2023,Intersection,"98 Ave NW & 76 St NW",204,2,20,100,11,7,18,2018|2019|2020|2021,,,,,,,,,,,,,,,,,,,,,,,,,
location,2023,Midblock,"Manning Dr NW — 153 Ave to 167 Ave",198,4,29,88,8,2,27,2019|2020|2021|2022|2023,,,,,,,,,,,,,,,,,,,,,,,,,
location,2023,Intersection,"Ellerslie Rd SW & 111 St SW",192,0,11,108,6,9,14,2022|2023,,,,,,,,,,,,,,,,,,,,,,,,,
location,2023,Intersection,"Anthony Henday Dr & 23 Ave SW",186,3,24,90,7,3,22,2018|2019|2020|2021|2022|2023,,,,,,,,,,,,,,,,,,,,,,,,,
location,2023,Midblock,"Fort Rd NW — 118 Ave to 127 Ave",178,5,32,75,24,6,48,2018|2019|2020|2021,,,,,,,,,,,,,,,,,,,,,,,,,
location,2023,Intersection,"Gateway Blvd NW & 51 Ave NW",172,2,17,95,13,10,20,2020|2021|2022|2023,,,,,,,,,,,,,,,,,,,,,,,,,
location,2023,Intersection,"118 Ave NW & 82 St NW",165,1,22,88,17,14,36,2021|2022|2023,,,,,,,,,,,,,,,,,,,,,,,,,
location,2023,Midblock,"107 Ave NW — Groat Rd to 124 St",158,3,18,80,21,15,30,2019|2020|2021|2022,,,,,,,,,,,,,,,,,,,,,,,,,
location,2023,Intersection,"137 Ave NW & 97 St NW",152,1,14,92,9,5,16,2021|2022|2023,,,,,,,,,,,,,,,,,,,,,,,,,
location,2023,Intersection,"Parsons Rd SW & Ellerslie Rd SW",148,0,9,95,5,8,11,2022|2023,,,,,,,,,,,,,,,,,,,,,,,,,
location,2023,Midblock,"Whyte Ave — 99 St to 109 St",142,2,20,72,38,28,55,2018|2019|2020|2021|2022|2023,,,,,,,,,,,,,,,,,,,,,,,,,
